naics_code,industry_description,firm_size,number_of_firms
3279,Other Nonmetallic Mineral Product Manufacturing,1-4 employees,898
3279,Other Nonmetallic Mineral Product Manufacturing,4-9 employees,586
3279,Other Nonmetallic Mineral Product Manufacturing,10-19 employees,510
3279,Other Nonmetallic Mineral Product Manufacturing,20-99 employees,530
3279,Other Nonmetallic Mineral Product Manufacturing,100-499 employees,112
3279,Other Nonmetallic Mineral Product Manufacturing,500+ employees,90
32791,Abrasive Product Manufacturing,1-4 employees,53
32791,Abrasive Product Manufacturing,4-9 employees,40
32791,Abrasive Product Manufacturing,10-19 employees,48
32791,Abrasive Product Manufacturing,20-99 employees,53
32791,Abrasive Product Manufacturing,100-499 employees,18
32791,Abrasive Product Manufacturing,500+ employees,10
327910,Abrasive Product Manufacturing,1-4 employees,53
327910,Abrasive Product Manufacturing,4-9 employees,40
327910,Abrasive Product Manufacturing,10-19 employees,48
327910,Abrasive Product Manufacturing,20-99 employees,53
327910,Abrasive Product Manufacturing,100-499 employees,18
327910,Abrasive Product Manufacturing,500+ employees,10
32799,All Other Nonmetallic Mineral Product Manufacturing,1-4 employees,845
32799,All Other Nonmetallic Mineral Product Manufacturing,4-9 employees,546
32799,All Other Nonmetallic Mineral Product Manufacturing,10-19 employees,462
32799,All Other Nonmetallic Mineral Product Manufacturing,20-99 employees,478
32799,All Other Nonmetallic Mineral Product Manufacturing,100-499 employees,95
32799,All Other Nonmetallic Mineral Product Manufacturing,500+ employees,83
327991,Cut Stone and Stone Product Manufacturing,1-4 employees,709
327991,Cut Stone and Stone Product Manufacturing,4-9 employees,457
327991,Cut Stone and Stone Product Manufacturing,10-19 employees,389
327991,Cut Stone and Stone Product Manufacturing,20-99 employees,352
327991,Cut Stone and Stone Product Manufacturing,100-499 employees,46
327991,Cut Stone and Stone Product Manufacturing,500+ employees,25
327992,Ground or Treated Mineral and Earth Manufacturing,1-4 employees,20
327992,Ground or Treated Mineral and Earth Manufacturing,4-9 employees,18
327992,Ground or Treated Mineral and Earth Manufacturing,10-19 employees,13
327992,Ground or Treated Mineral and Earth Manufacturing,20-99 employees,32
327992,Ground or Treated Mineral and Earth Manufacturing,100-499 employees,23
327992,Ground or Treated Mineral and Earth Manufacturing,500+ employees,29
327993,Mineral Wool Manufacturing,1-4 employees,39
327993,Mineral Wool Manufacturing,4-9 employees,21
327993,Mineral Wool Manufacturing,10-19 employees,29
327993,Mineral Wool Manufacturing,20-99 employees,38
327993,Mineral Wool Manufacturing,100-499 employees,10
327993,Mineral Wool Manufacturing,500+ employees,18
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,1-4 employees,77
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,4-9 employees,50
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,10-19 employees,31
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,20-99 employees,57
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,100-499 employees,18
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,500+ employees,28
331,Primary Metal Manufacturing,1-4 employees,635
331,Primary Metal Manufacturing,4-9 employees,333
331,Primary Metal Manufacturing,10-19 employees,374
331,Primary Metal Manufacturing,20-99 employees,783
331,Primary Metal Manufacturing,100-499 employees,409
331,Primary Metal Manufacturing,500+ employees,287
3311,Iron and Steel Mills and Ferroalloy Manufacturing,1-4 employees,69
3311,Iron and Steel Mills and Ferroalloy Manufacturing,4-9 employees,25
3311,Iron and Steel Mills and Ferroalloy Manufacturing,10-19 employees,27
3311,Iron and Steel Mills and Ferroalloy Manufacturing,20-99 employees,53
3311,Iron and Steel Mills and Ferroalloy Manufacturing,100-499 employees,37
3311,Iron and Steel Mills and Ferroalloy Manufacturing,500+ employees,48
33111,Iron and Steel Mills and Ferroalloy Manufacturing,1-4 employees,69
33111,Iron and Steel Mills and Ferroalloy Manufacturing,4-9 employees,25
33111,Iron and Steel Mills and Ferroalloy Manufacturing,10-19 employees,27
33111,Iron and Steel Mills and Ferroalloy Manufacturing,20-99 employees,53
33111,Iron and Steel Mills and Ferroalloy Manufacturing,100-499 employees,37
33111,Iron and Steel Mills and Ferroalloy Manufacturing,500+ employees,48
331110,Iron and Steel Mills and Ferroalloy Manufacturing,1-4 employees,69
331110,Iron and Steel Mills and Ferroalloy Manufacturing,4-9 employees,25
331110,Iron and Steel Mills and Ferroalloy Manufacturing,10-19 employees,27
331110,Iron and Steel Mills and Ferroalloy Manufacturing,20-99 employees,53
331110,Iron and Steel Mills and Ferroalloy Manufacturing,100-499 employees,37
331110,Iron and Steel Mills and Ferroalloy Manufacturing,500+ employees,48
3312,Steel Product Manufacturing from Purchased Steel,1-4 employees,92
3312,Steel Product Manufacturing from Purchased Steel,4-9 employees,47
3312,Steel Product Manufacturing from Purchased Steel,10-19 employees,44
3312,Steel Product Manufacturing from Purchased Steel,20-99 employees,128
3312,Steel Product Manufacturing from Purchased Steel,100-499 employees,81
3312,Steel Product Manufacturing from Purchased Steel,500+ employees,86
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,1-4 employees,30
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,4-9 employees,15
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,10-19 employees,18
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,20-99 employees,36
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,100-499 employees,37
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,500+ employees,42
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,1-4 employees,30
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,4-9 employees,15
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,10-19 employees,18
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,20-99 employees,36
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,100-499 employees,37
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,500+ employees,42
33122,Rolling and Drawing of Purchased Steel,1-4 employees,62
33122,Rolling and Drawing of Purchased Steel,4-9 employees,32
33122,Rolling and Drawing of Purchased Steel,10-19 employees,26
33122,Rolling and Drawing of Purchased Steel,20-99 employees,93
33122,Rolling and Drawing of Purchased Steel,100-499 employees,45
33122,Rolling and Drawing of Purchased Steel,500+ employees,53
331221,Rolled Steel Shape Manufacturing,1-4 employees,29
331221,Rolled Steel Shape Manufacturing,4-9 employees,15
331221,Rolled Steel Shape Manufacturing,10-19 employees,11
331221,Rolled Steel Shape Manufacturing,20-99 employees,48
331221,Rolled Steel Shape Manufacturing,100-499 employees,16
331221,Rolled Steel Shape Manufacturing,500+ employees,27
331222,Steel Wire Drawing,1-4 employees,33
331222,Steel Wire Drawing,4-9 employees,17
331222,Steel Wire Drawing,10-19 employees,15
331222,Steel Wire Drawing,20-99 employees,45
331222,Steel Wire Drawing,100-499 employees,30
331222,Steel Wire Drawing,500+ employees,29
3313,Alumina and Aluminum Production and Processing,1-4 employees,70
3313,Alumina and Aluminum Production and Processing,4-9 employees,28
3313,Alumina and Aluminum Production and Processing,10-19 employees,30
3313,Alumina and Aluminum Production and Processing,20-99 employees,65
3313,Alumina and Aluminum Production and Processing,100-499 employees,71
3313,Alumina and Aluminum Production and Processing,500+ employees,59
33131,Alumina and Aluminum Production and Processing,1-4 employees,70
33131,Alumina and Aluminum Production and Processing,4-9 employees,28
33131,Alumina and Aluminum Production and Processing,10-19 employees,30
33131,Alumina and Aluminum Production and Processing,20-99 employees,65
33131,Alumina and Aluminum Production and Processing,100-499 employees,71
33131,Alumina and Aluminum Production and Processing,500+ employees,59
331313,Alumina Refining and Primary Aluminum Production,1-4 employees,15
331313,Alumina Refining and Primary Aluminum Production,4-9 employees,4
331313,Alumina Refining and Primary Aluminum Production,20-99 employees,8
331313,Alumina Refining and Primary Aluminum Production,100-499 employees,3
331313,Alumina Refining and Primary Aluminum Production,500+ employees,6
331314,Secondary Smelting and Alloying of Aluminum,1-4 employees,11
331314,Secondary Smelting and Alloying of Aluminum,4-9 employees,5
331314,Secondary Smelting and Alloying of Aluminum,10-19 employees,3
331314,Secondary Smelting and Alloying of Aluminum,20-99 employees,17
331314,Secondary Smelting and Alloying of Aluminum,100-499 employees,14
331314,Secondary Smelting and Alloying of Aluminum,500+ employees,12
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",1-4 employees,11
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",4-9 employees,4
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",10-19 employees,7
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",20-99 employees,7
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",100-499 employees,12
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",500+ employees,13
331318,"Other Aluminum Rolling, Drawing, and Extruding",1-4 employees,33
331318,"Other Aluminum Rolling, Drawing, and Extruding",4-9 employees,15
331318,"Other Aluminum Rolling, Drawing, and Extruding",10-19 employees,18
331318,"Other Aluminum Rolling, Drawing, and Extruding",20-99 employees,33
331318,"Other Aluminum Rolling, Drawing, and Extruding",100-499 employees,44
331318,"Other Aluminum Rolling, Drawing, and Extruding",500+ employees,35
3314,Nonferrous Metal (except Aluminum) Production and Processing,1-4 employees,154
3314,Nonferrous Metal (except Aluminum) Production and Processing,4-9 employees,78
3314,Nonferrous Metal (except Aluminum) Production and Processing,10-19 employees,79
3314,Nonferrous Metal (except Aluminum) Production and Processing,20-99 employees,153
3314,Nonferrous Metal (except Aluminum) Production and Processing,100-499 employees,75
3314,Nonferrous Metal (except Aluminum) Production and Processing,500+ employees,74
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,1-4 employees,33
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,4-9 employees,12
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,10-19 employees,16
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,20-99 employees,20
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,100-499 employees,14
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,500+ employees,19
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,1-4 employees,33
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,4-9 employees,12
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,10-19 employees,16
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,20-99 employees,20
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,100-499 employees,14
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,500+ employees,19
33142,"Copper Rolling, Drawing, Extruding, and Alloying",1-4 employees,19
33142,"Copper Rolling, Drawing, Extruding, and Alloying",4-9 employees,12
33142,"Copper Rolling, Drawing, Extruding, and Alloying",10-19 employees,16
33142,"Copper Rolling, Drawing, Extruding, and Alloying",20-99 employees,46
33142,"Copper Rolling, Drawing, Extruding, and Alloying",100-499 employees,34
33142,"Copper Rolling, Drawing, Extruding, and Alloying",500+ employees,26
331420,"Copper Rolling, Drawing, Extruding, and Alloying",1-4 employees,19
331420,"Copper Rolling, Drawing, Extruding, and Alloying",4-9 employees,12
331420,"Copper Rolling, Drawing, Extruding, and Alloying",10-19 employees,16
331420,"Copper Rolling, Drawing, Extruding, and Alloying",20-99 employees,46
331420,"Copper Rolling, Drawing, Extruding, and Alloying",100-499 employees,34
331420,"Copper Rolling, Drawing, Extruding, and Alloying",500+ employees,26
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",1-4 employees,102
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",4-9 employees,54
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",10-19 employees,48
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",20-99 employees,88
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",100-499 employees,30
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying",500+ employees,43
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",1-4 employees,67
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",4-9 employees,33
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",10-19 employees,29
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",20-99 employees,42
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",100-499 employees,17
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",500+ employees,25
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",1-4 employees,35
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",4-9 employees,21
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",10-19 employees,19
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",20-99 employees,46
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",100-499 employees,14
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",500+ employees,23
3315,Foundries,1-4 employees,251
3315,Foundries,4-9 employees,155
